Content Type,Size,Content Title,Content,Designer Name,Instructions For Designer,Reference Link/Image,Assigned By,Assigned Date,Completion Date,Design Status,Approval Status,Captions,Posting Status,Design Drive Link,,,,
Reel,,"Hassan, Daud, Shahmeer",Rasta,Lahore Team,,,Self made,,,Completed ,,"Even when someone explains it, and you still feel lost? You're not alone. Studying abroad can be confusing, but it doesn’t have to be. Visit us and get expert guidance that actually makes sense. ",Posted,,,,,
Reel,,"Hassan, Daud, Shahmeer",Humorous Video Lahoorr,Lahore Team,,,Self made,13 June,13 June,Completed ,,"Lahore or Lahorh? 🤔 Some things are better left a mystery... but your study abroad plans shouldn’t be!  FES is your one-stop solution for all things related to international education. Let’s make it happen!  

Get in touch NOW! ",Posted,,,,,
Reel,Reel Size,Peshawar Reel,Study Visa/Work Visa,Sherry,,,Ahmad,13 June,13 June,,,,,,,,,
SM post,,Happy Father's Day,"FES logo
Fathers: the ones who carry the world on their shoulders so we don’t have to.
Happy Father’s Day
www.fespak.com
",Tayyaba,"Priority task
Pls share it today",,Shumaila,14 June,,Completed ,,"Happy Father’s Day From FES! 

To the first mentor, biggest supporter, and silent strength behind every dream, thank you Dad!

At FES, we see the sacrifices fathers make every day to secure a brighter future for their children. Today, we honor their unwavering love and commitment to education, growth, and opportunity. 🌍📚

Here’s to all the incredible fathers who make dreams take flight. ✈️",Posted,,,,,
SM post,,Birthday posts,Syeda Sadia Kazmi & Yasir Khan,Tayyaba,,,Shumaila,13 & 14 June,,Completed ,,None,Posted,,,,,
Event Cover,,Lahore MDX events,"FES, 22 Years & MDX Logo
Interactive Session (Name of Event - Highlight)
Location icon: FES Head Office Lahore (Highlight)
Anoose Faris (picture)
Regional Recruitment Manager MENAP at MDX

Monday, 30th June, 2025
10 AM – 1 PM
Office # 31/2, Upper Ground, Mall of Lahore, 172 Tufail Road, Cantt Lahore.

On-Spot Assessment
MOI Letters Now Accepted (Highlight this point)
Scholarship Upto GBP 2000 (Highlight this point)
Apply for September 2025 Intake 

0346-8454546
www.fespak.com
",Raheel,,,Shumaila,14 June,,Completed ,,"Ready to take your dreams across borders?
This is your chance to speak directly with the official representative from Middlesex University London and get the guidance you need to move forward! Join us for an exclusive Interactive Session with Anoose Faris, Regional Recruitment Manager – MENAP at MDX, in Lahore on Monday, 30th June 2025, from 10:00 AM to 1:00 PM. Learn how to strengthen your application, discover scholarships of up to GBP 2000 and get clarity on the latest admission requirements for the September 2025 intake.

Meet us at Office # 31/2, Upper Ground, Mall of Lahore, 172 Tufail Road, Cantt Lahore. Bring your academic documents for an on-spot assessment and walk away with personalized advice for your UK study journey.",Posted,,,,,
SM post,,Dr. Touqeer Birthday,"FES logo
Happy Birthday
To the one who leads, uplifts & inspires
Dr. Syed Touqeer Shah
Director, FES Consultants
www.fespak.com
",Raheel,Pls share before 18th June,,Shumaila,14 June,,Completed ,,"Today, we celebrate Dr. Syed Touqeer Shah, the driving force behind our mission to empower students and open global doors.

Wishing the happiest of birthdays to the man who leads with vision, uplifts with purpose, and inspires like a true legend, Dr. Touqeer Shah!

Your leadership, wisdom, and relentless dedication continue to inspire us every day.

Here’s to many more milestones and meaningful impact ahead!",Posted,,,,,
S U N D A Y                                                                                                                        S U N D A Y,,,,,,,,,,,,,,,,,,
Reel,,Shoaib Akhtar ,Review,Sherry,,,Ahmad,,,Completed ,,"Meet Shoaib Akhtar from Chitral! 🎓

From the mountains of Chitral to the corridors of University of Peshawar, Shoaib is our Student Ambassador who secured a fully funded 4-year scholarship in Journalism, sponsored by FES 📚

As a proud Student Ambassador, Shoaib also played an active role in organizing our FES Study Abroad Expo, gaining valuable exposure and experience along the way. 

Watch his heartfelt message and shout-out to all students dreaming of studying abroad, FES is here to guide your journey! 🌍

We Guide, You Lead! ",Posted,,,,,
Reel,,Bilal Ahmed,Review,Sherry,,,Ahmad,,,On Hold,Video Not approved,Video Not approved,Video Discarded,,,,,
SM post,,Wali Ullah Abbottabad,"FES, 22 Years and Heartfordshire
Proud Moment

Wali Ullah has been awarded Student of the Year at the University of Hertfordshire 
Student of LLB (Hons) — this is what international success looks like

All the best for your future endeavours from FES. We Guide, You Lead!
0345 8454772
www.fespak.com",Raheel,Picture,,Insia,16 June,,Completed ,,"From dream to distinction!
Huge congratulations to Wali Ullah for being awarded Student of the Year at the University of Hertfordshire 🎓

An LLB (Hons) student making waves internationally, this is the kind of success FES is proud to be part of!

Wali, your journey inspires many and reminds us all that with hard work and the right guidance, anything is possible.",Posted,,,,,
Card,,UAE Visiting Card,"Front Side
FES UAE Logo
Dr. Rabia Arshad
Recruitment Manager
dubai@fesgateway.com
+971 50 551 9464
The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E


Back Side
FES UAE Logo
We Guide, You Lead

QR Code of Social Media Handles
UAE | UK | Pakistan 
www.fesgateway.com",Raheel,,,Insia,18 June,,Completed ,,None,-,,,,,
Card,,UAE Visiting Card,"Front Side
FES UAE Logo
Dr. Touqeer Shah
Managing Director 
fesgulf@fespak.com
+971 58 506 2157
The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E


Back Side
FES UAE Logo
We Guide, You Lead

QR Code of Social Media Handles
UAE | UK | Malaysia | Pakistan 
www.fesgateway.com",Raheel,,,Insia,18 June,,Completed ,,None,-,,,,,
Card,,QR Code,"FES UAE
https://www.linkedin.com/company/fes-uae/posts/?feedView=all
https://www.instagram.com/fesuae1/
https://www.facebook.com/fesuae1",Akbar,Multi Links in 1 QR Code,,Insia,18 June,,Completed ,,None,-,,,,,
Printing,,FES UAE Catalouge,Word File,Raheel,,,Insia,,,Completed ,,None,-,,,,,
SM post,,Success Story,"FES, 22 Years and University of Stirling logo
Success Story
Murtaza Ahmad
MSc Digital Marketing and Brand Management from the University of Stirling
Postgraduate Be The Difference Scholarship (£7,000)
www.fespak.com
",Raheel,"Design new template
Pls share it by today ",Priority Task,Shumaila,18 June,,,,"With a clear goal and the right support, Murtaza Ahmad earned his place at the University of Stirling for an MSc in Digital Marketing and Brand Management and didn’t stop there. He also secured the competitive £7,000 “Postgraduate Be The Difference Scholarship"".

His story proves that with clear goals and the right support, real success isn’t out of reach; it’s within your grasp. To every student with the courage to aim higher: this is your sign. FES is here to back you, believe in you, and help you reach what’s next.",Posted,,,,,
SM post,,Hiring post,"FES logo only (Don’t use 22 years logo)
We’re Hiring
Visa Officer 
Join Our Growing Team!

Location: Lahore & Rawalpindi
Position: Full-Time

Requirements:
•        Masters or 4 Years Bachelors Degree (Preferred)
•        Strong communication skills
•        Prior experience in visa processing (preferred)
•        Attention to detail and accuracy

Why Join Us?
-        Dynamic work environment
-        Career growth opportunities
-        Be part of an experienced & supportive team

How to Apply:
Send your CV to: info@fesrozgar.com
www.fespak.com
",Tayyaba,,,Shumaila,18 June,,Completed ,,"FES is Hiring!
We're on the lookout for passionate and detail-driven individuals to join us as Visa Officers in Lahore & Rawalpindi!

Why You Should Apply:
🔹 Be part of a fast-growing international education consultancy
🔹 Thrive in a supportive, high-energy work environment
🔹 Real career growth opportunities
🔹Full-Time Job opportunity

Send your CV to info@fesrozgar.com now and apply!",Posted,,,,,
SM post,,Birthday Post,"Happy Birthday
Dear Alumni

On your special day, we celebrate not just your achievements but the positive impact you continue to make.
Here’s to a new year of purpose, progress, and possibilities.

www.fespak.com",Akbar,Text Based Design,https://www.freepik.com/free-psd/happy-birthday-posts-template_8802230.htm#fromView=search&page=1&position=48&uuid=e18d1be4-ae6b-4799-9f6d-7361a3a6badb&query=happy+birthday+,Insia,,,Completed ,,"Dear Alumni,
Happy Birthday! 🎉

On this special day, we at FES extend our heartfelt wishes to you. We take immense pride in the achievements you've made and the values you carry forward. Your success continues to inspire those around you and reflects the spirit of excellence that FES stands for. Watching you take the leap to study abroad and thrive on the global stage has been incredibly rewarding for us. You are a true reflection of what dedication and ambition can achieve. 

As you step into a new year of your life, may you be surrounded by positivity, driven by ambition and rewarded with new opportunities at every turn. Here's to a year filled with personal milestones, professional accomplishments and endless possibilities.

Stay in touch — We guide, you lead. 💙",Shared with HR,,,,,
SM post,Carousel,FES UAE,"Grid 1
September 2025 Intake Universities 
Featuring Scotland - UK
Right Arrow

Grid 2
Edinburgh Napier University
September 2025 Intake Open

* Exclusive Partner of FES
* Without IELTS Options Available
* High Visa Success Rate
* GBP 2000 Confirmed Scholarship

Grid 3
University Of Dundee
September 2025 Intake Open

* Refundable Deposit
* High Employment Rate
* £6500 - £7500 Automatic Scholarship 

Grid 4
University of Stirling
September 2025 Intake Open

* MOI Accepted
* High Graduate Employment Rate
* Scholarship Upto GBP 7000

Grid 5
Contact us details like the one you made in visa rejection post",Tayyaba,UAE Details,https://www.instagram.com/p/DFfsTXnIG-F/?img_index=1,Insia,18 June,,Completed ,,"Tired of binge-watching and ready to live your own UK story? Students are securing spots in Scotland with no IELTS, real scholarships and fast visa approvals? Your study abroad season starts now — swipe to choose your university and let FES direct the plot! ✨",Posted,,,,,
Certificate,Standard,Work Anniversary Certificates for June,"*Work Anniversary Certificates- JUNE*
Amir Rafique - 9 years
Muhammad Tahir Ahmed - 1 Year
Abdul Majeed - 12 years
Hafiz Ullah - 11 years
Hissam - 13 years 
Saeed Ur Rehman - 2 years
Malaika Batool - 2 years
Tahseenullah - 9 years
Asghar - 4 years
",Akbar,Please do these ASAP,,Ahmad,19th June,,Completed ,,None,Shared with HR,,,,,
SM post,,Westminster,"FES, 22 Years and Westminster Logo
Scholarship Update
University of Westminter is offering (small font)
International Agent Scholarship (Highlight)
Worth £1,000 (Highlight)

September 2025 intake 
Application Deadline: 23 June, 2025 
Apply Now

0341 8454888
www.fespak.com",Tayyaba,,https://www.pinterest.com/pin/25192079162251911/,Insia,19th June,,Completed ,,"Students applying to the University of Westminster for the September 2025 intake can now benefit from the International Agent Scholarship, valued at £1,000. This is a great opportunity to ease your study abroad expenses. The application deadline is 23 June, 2025 — apply now and let FES support your journey to one of the UK’s leading universities.",Posted,,,,,
SM post,,Jummah Post,"""FES, 22 Years Logo
The Most Merciful (Small)
Ar Rahman in Arabic (Big)
Jummah Mubarak
“Call upon Allah or call upon the Most Merciful. Whichever [name] you call – to Him belong the best names.”
(Surah Al-Isra 17:110)
www.fespak.com""",Tayyaba,,https://www.facebook.com/photo.php?fbid=1147014357469772&set=pb.100064836546780.-2207520000&type=3,Insia,19th June,,Completed ,,"No matter where we are in life, Allah’s mercy surrounds us — boundless, constant and ever-present. On this blessed day, let’s strive to embody that mercy in our own actions through kindness, forgiveness and compassion. Jummah Mubarak!",Posted,,,,,
Event Cover,,App Week,Application Week - 23 to 28 June,Raheel,,,Insia,19 June,,Completed ,,"On your demand, we’re back with another FES Application Week – your chance to explore which UK university could become your future home! From 23rd to 28th June, between 11:00 AM and 5:00 PM, visit any FES office to meet UK universities specialists offering programs including Foundation, Bachelors, Masters and PhD. 

You’ll be able to apply on the spot with the help of our expert counselors, get tailored advice on courses and career paths, learn about scholarships, tuition discounts and post-study work opportunities. This event is designed to give you everything you need to start your journey toward the September 2025 intake. 

Don’t miss out on this golden opportunity to take the next step toward studying in the UK – with the support of Pakistan’s most trusted education consultancy. Register Now!",Posted,,,,,
SM post,,FES UAE Countries,"Good News
FES is now expanding your study abroad options!
Introducing New Destinations
Italy
Turkey
Georgia
Finland
Poland

More countries. More options.
Inquire Now

UAE Contact Details

",Tayyaba,,,Insia,20 June,,Completed ,,"FES is now expanding your study abroad options! We’re excited to announce that we are now officially dealing with top universities in Italy, Turkey, Georgia, Finland, and Poland. Whether you’re looking for affordable education, high-quality programs, or vibrant international exposure — your dream of studying abroad just became easier and more accessible.",Posted,,,,,
Reel,,IELTS Myths,"Stop believing these IELTS myths and start preparing smartly. Contact us today if you’re serious about 7.0, 8.0, or higher.
1. You can’t ask the examiner to repeat a question.
2. You must answer every question in speaking with complex vocabulary.
3. Memorizing answers can get you a high score.
4. If you fail once, you must wait a year to retake it.",Sherry,,,Malaika,20 June,,Completed ,,"Stop believing what you've heard because all those are just rumors. And be exam-smart, not exam-stressed.",Posted,,,,,
Printing,A4,Flyer Top Tier Universities,"FES and 22 Years Logo
Top Tier Universities 
Add APU Logo with others

Become Our Next Success Story
(ADD EXPO Points)
Scholarships Available
95% Visa Success Rate
With/Without IELTS Options
Part Time Work Options
PSW Opportunities

www.fespak.com",Raheel,Required for Printing,,Insia,21 June,21 June,Completed ,,"We’re excited to announce that we are now officially dealing with top universities in Italy, Turkey, Georgia, Finland and Poland. Whether you’re looking for affordable education, high-quality programs or vibrant international exposure — your dream of studying abroad just became easier and more accessible.",-,,,,,
Event Cover,,ENU Conversion Drive Mardan,"Fes, ENU and 22 years logo

Edinburgh Napier University Conversion Drive
September 2025 Intake Edition

(Imran's Picture)
Interact with Mr. Imran Khan 
Country Director - ENU

(Highlight these scholarships)

£1,000 Scholarship For 2-year Master's Program
GBP 2000 Scholarship For 1-year Courses 

Deposit Deadline:  21st July, 2025

Join us in 
Mardan
23rd June, 2025
11:00 AM - 5:00 PM
Office 4-6, 1st Floor, Mardan City Center, Qazi Bashir Ahmad Road, Mardan Cantt.

Contact us
0345 8454774
www.fespak.com",Raheel,Urgent,,Insia,21 June,21 June,Completed ,,"If you have been looking for scholarships, then you are at the right place. Presenting you an exclusive event with Mr. Imran Khan, Country Director of Edinburgh Napier University! Get ready to discover the September 2025 Intake opportunities at ENU and learn about the exciting scholarships available:

- £1,000 Scholarship for 2-year Master's programs
- £2,000 Scholarship for 1-year courses

 ⏰ Deposit deadline is July 21st, 2025, so mark your calendars! Meet us in person at our Mardan office on 23rd June, 2025, and take the first step towards your future!",Posted,,,,,
Event Cover,,ENU Rwp,"Join us in 
Rawalpindi
24th June, 2025
11:00 AM - 5:00 PM
Office 115A-116, 1st Floor, Kohistan Tower, Mehfooz Shaheed Road, Saddar, Rawalpindi
0346 8454560
0345 8454708",Raheel,,,Insia,21 June,21 June,Completed ,,"Waiting for scholarship opportunity? Join us at an exclusive event with Mr. Imran Khan, Country Director of Edinburgh Napier University! Get ready to discover the September 2025 Intake opportunities at ENU and learn about the exciting scholarships available:

- £1,000 Scholarship for 2-year Master's programs
- £2,000 Scholarship for 1-year courses

 ⏰ Deposit deadline is July 21st, 2025, so mark your calendars! Meet us in person at our Rawalpindi office on 24th June, 2025, and take the first step towards your future!",Posted,,,,,
Event Cover,,ENU Wah Cantt,"Join us in 
Wah Cantt 
25th June, 2025
11:00 AM - 5:00 PM
Office 28-30, Al Kareem Arcade, Main Grand Trunk Rd, opposite Kohistan Enclave, Wah Cantt.
0345 8454773",Raheel,,,Insia,21 June,21 June,Completed ,,"Are you a student and looking for scholarship in the UK? Visit us at an exclusive event with Mr. Imran Khan, Country Director of Edinburgh Napier University! Get ready to discover the September 2025 Intake opportunities at ENU and learn about the exciting scholarships available:

- £1,000 Scholarship for 2-year Master's programs
- £2,000 Scholarship for 1-year courses

 ⏰ Deposit deadline is 21st July, 2025, so mark your calendars! Meet us in person at our Wah Cantt office on 25th June, 2025, and take the first step towards your future!",Posted,,,,,
Event Cover,,ENU Abbottabad,"Join us in 
Abbottabad
26th June, 2025
11:00 AM - 5:00 PM 
Office 103-104, 1st Floor, Bilal Plaza, Adjacent Silk Plaza, Abbottabad 
0345 8454772",Raheel,,,Insia,21 June,21 June,Completed ,,"How about you save some money while studying abroad? If yes, visit us at an exclusive event with Mr. Imran Khan, Country Director of Edinburgh Napier University! Get ready to discover the September 2025 Intake opportunities at ENU and learn about the exciting scholarships available:

- £1,000 Scholarship for 2-year Master's programs
- £2,000 Scholarship for 1-year courses

 ⏰ Deposit deadline is 21st July, 2025, so mark your calendars! Meet us in person at our Abbottabad office on 26th June, 2025, and take the first step towards your future!",Posted,,,,,
Event Cover,,ENU HO Lahore,"Join us in 
Lahore
28th June, 2025
11:00 AM - 5:00 PM
Office # 31/2, Upper Ground, Mall of Lahore,
172 Tufail Road, Cantt Lahore.  
0346 8454546",Raheel,,,Insia,21 June,21 June,Completed ,,"You haven't done IELTS and are also looking for scholarships? We have an exciting opportunity for you to join us at an exclusive event with Mr. Imran Khan, Country Director of Edinburgh Napier University and discuss your study abroad plans with him! Get ready to discover the September 2025 Intake opportunities at ENU and learn about the exciting scholarships available:

- £1,000 Scholarship for 2-year Master's programs
- £2,000 Scholarship for 1-year courses

 ⏰ Deposit deadline is 21st July, 2025, so mark your calendars! Meet us in person at our Head Office on 28th June, 2025, and take the first step towards your future!",Posted,,,,,
SM post,,FES UAE,"Pursue Your Passion with Top International Courses

- Engineering
- Medicine
- Dentistry 
- Veterinary 
- Business 
- Artificial Intelligence 
- Computer Science 
- Data Science
- Law & Beyond!

Start Your Journey Today! 
Contact details",Tayyaba,Urgent,,Insia,21 June,,Completed ,,"We’re excited to announce that we are now officially dealing with top universities in Italy, Turkey, Georgia, Finland and Poland. Whether you’re looking for affordable education, high-quality programs or vibrant international exposure — your dream of studying abroad just became easier and more accessible.

Connect with us at
+971 50 551 9464
Visit us at: www.fesgateway.com
dubai@fesgateway.com

#fesuae #studyabroad #consultant #foreigncountries #study #italy #türkey #georgia #finland #poland #moreoptions",Posted,,,,,
S U N D A Y                                                                                                                        S U N D A Y,,,,,,,,,,,,,,,,,,
SM post,,Portsmouth,"FES, 22 Years and UoP Logo
University of Portsmouth
September 2025 Intake

Gold Rated University
High Employment Rate
GBP 2000 Automatic Scholarship
No Processing Fee
MOI Accepted

0341 8454888
www.fespak.com

If possible fit in the ratings as well 
",Tayyaba,Make similar to the ones you made for scotland unis carousel,,Insia,23 June,23 June,Completed ,,Guess what? University of Portsmouth is offering GBP 2500 Automatic Scholarship for September 2025 Intake. Hurry up and study at the Gold rated university with lots of perks. Contact Now!,Posted,,,,,
SM post,,IELTS 8.0 By Fes,"Offering IELTS Coaching.

We offer:
* Expert trainers
* Updated study material
* Mock tests/ practice sessions
* Guidance for test registration.

Study, Work, or Settle Abroad starts with IELTS; Register now.",Akbar,,,Malaika,23 June,,Completed ,,"The world doesn’t wait. Why should you? Get IELTS ready now because your future deserves the best. Start today for a world full of opportunities.

📍 Office No. 104-104A, 1st Floor, Mehfooz Shaheed Road, Kohistan Tower, Saddar Rawalpindi 📞 0345-8454768 | 0341-8454555 

📍 IELTS 8.0 by FES, Arbab Road, Peshawar 📞0341 8454040/  0346 8454444",Posted,,,,,
SM post,,MTS,"FES, 22 Years and Middle Tennessee State University Logo
Big Opportunity for International students
 
Online Dual Enrollment Program (Highlight)
Start Your University Journey Before You Graduate!
Eligibility: High School Juniors & Seniors
Requirements:
• MTSU Application + $25 Fee
• High School Transcript & ACT Score
• Dual Enrollment Consent Form
• College Transcripts (if applicable)
Apply through FES and get complete guidance!

0341 8454888
www.fespak.com

",Tayyaba,,,Insia,23 June,,Completed ,,"Why wait till graduation? Get a head start with Middle Tennessee State University's Online Dual Enrollment Program, available for high school juniors & seniors. Apply now with FES!",,,,,,
Shield,,FES Presented to Vice Chancellor UET Mardan,"Presented to Prof. Dr. Gul Muhammad Khan
Vice Chancellor
University of Engineering and Technology, Mardan",Akbar,Urgent,,Malaika,23rd June,,Completed ,,None,None,,,,,
SM post,,Portsmouth Deadline,"FES, 22 Years and UoP Logo
Missed the application deadline for the University of Portsmouth? No worries! (Highlight application deadline)
The deadline has been extended to 7th July 2024. (Highlight date)
Apply through FES without any processing fee
📞 0341 8454888
🌐 www.fespak.com
If ratings looks good, add them otherwise skip",Tayyaba,,,Insia,23 June,,Completed ,,"Did you miss earlier deadlines? No problem, the University of Portsmouth is still accepting applications for September 2025! Ranked among the Top 40 universities in the UK, it’s the perfect mix of quality and opportunity. But hurry – the deadline is 7th July. Contact Now!",Posted,,,,,
SM post,,MDX Marituis,"Fes, 22 Years and Middlesex University Mauritius Logo
Study at MDX Mauritius 

World Class UK Qualification
20 Hours/Week Work Allowed
Visa approval in 6 to 8 weeks
60% Fee discount
Island Lifestyle

Accepting Applications For The September 2025 Intake
Deadline: 18 August, 2025

Apply through FES for complete support
📞 0341 8454888 | 🌐 www.fespak.com
",Tayyaba,,,Insia,23 June,,Completed ,,"Deadlines coming fast and still figuring things out? We’ve mapped out everything you need to know about MDX Mauritius from discounts to fee deadlines. No need to stress. We Guide, You Lead!",,,,,,
SM post,,RGU Deadline,"Fes, 22 Years and RGU Logo
Final Call for September 2025 Intake
UG & PG Applications Closing Soon
Last Date To Apply: 27th June, 2025 (Highlight)


Apply through FES – your trusted study abroad partner
📞 0341 8454888 | 🌐 www.fespak.com
",Tayyaba,Priority,,Insia,23 June,24 June,Completed ,,"Final call for students aiming to join Robert Gordon University this September! Whether you're applying for undergraduate or postgraduate programs, this is your chance to take the leap. Applications are closing soon, and the last date to apply is 27th June 2025.  Apply now!",Posted,,,,,
Carousel,,MDX Carousel,"Fes, 22 Years and MDX London Logo
Slide 1
Launch Your Global Financial Career With MDX London
Pursue MSc International Financial Management  (Highlight Course)
Duration: 1 Year
Minimum CGPA Required: 2.5

Slide 2
Why This Programme?
Global Relevance
-        Covers cross-border financial strategies, risk management & international investment
Career Advancement
-        Prepares graduates for roles in multinational corporations, financial institutions & consulting
Flexible Entry 
-        Suitable for both finance and non-finance backgrounds, making it an excellent conversion programme

Slide 3
£1,500 Regional Award for eligible students
Early Bird Discount: Extra £1,000 for early fee payment
(50% or £1,000 minimum deposit)

Apply through FES – your trusted study abroad partner
📞 0341 8454888 | 🌐 www.fespak.com


",Raheel,,https://mail.google.com/mail/u/0/?tab=rm&ogbl#inbox/FMfcgzQbffhwmGMBDlhnGzXtXnhrjNnM?projector=1&messagePartId=0.1,Insia,23 June,,,,"Planning to build a career in international finance? MDX London offers a 1-year MSc in International Financial Management designed for both finance and non-finance graduates.

And the best part?
🎓 Minimum CGPA required: 2.5
💷 £1,500 Regional Award
⏳ Extra £1,000 Early Bird Discount

Apply now through FES!",Posted,,,,,
Carousel,,LJMU Deadlines Carousel,"FES 22 Years and LJMU Logo
Slide 1
Planning to study at LJMU this year?
Here’s everything you need to know — in time.

Slide 2
Application Deadline
30th June, 2025
Submit your application before the doors close

Slide 3
Deposit Deadline
28th July, 2025
Secure your spot and take the next step toward your UK dream

Slide 4
CAS Deadline
15th August, 2025
Final step before your visa – don’t miss this

Slide 5
Apply through FES and let us handle the deadlines, documents and details for you
📞 0341 8454888 
🌐 www.fespak.com
",Tayyaba,"Priority. Unique Design Plz, Content is less, Make sure it looks appealling & attractive",,Insia,23 June,24 June,Completed ,,"Got LJMU on your radar? Then you’ll want to save these deadlines. Whether it’s your application, deposit or CAS — every date matters. Apply through FES and we’ll guide you all the way.",Posted,,,,,
SM post,,MDX MOI,"FES 22 Years and MDX Logo
Good News for Postgraduate Applicants
Middlesex University (MDX) is now accepting MOI (Medium of Instruction) as proof of English for postgraduate programs.
No IELTS required
Apply through FES and get full support
📞 0341 8454888 | 🌐 www.fespak.com
",Raheel,,,Insia,23 June,,,,"Good news for postgraduate applicants! Middlesex University (MDX) is now accepting MOI (Medium of Instruction) as proof of English for postgraduate programs: meaning no IELTS required. This is your chance to save time, skip the test and still study at a top UK university.",Discard,,,,,
SM post,,3 Designs Conversion,"Lahore 2nd Video 
Excuse Me, pls baithain ap....",Tayyaba,,,Insia,23 June,,Completed ,,None,None,,,,,
SM post,,ENU Scholarship,"FES, 22 years and ENU Logo
Edinburgh Napier University 
September 2025 Intake Scholarships

£1,000 Scholarship For 2-year Master's Program
GBP 2000 Scholarship For 1-year Courses 

Deposit Deadline:  21st July, 2025 
Apply Now

0341 8454888
www.fespak.com",Raheel,Convert event cover into post with this content,,Insia,23 June,24 June,Completed ,,"Worried about managing your tuition abroad? Edinburgh Napier University has you covered with £2,000 scholarships for 1-year courses and £1,000 for 2-year master’s. Applications are open for the September 2025 intake, and the deposit deadline is 21st July. Apply before its too late!",Posted,,,,,
SM post,,USW Deadline,"FES, 22 Years and USW Logo
University of South Wales
Applications For September 2025 Intake Are Closing Soon

Submit your application by
10th July, 2025

Why Study at USW?
Top in Wales for new business startups (5 years running)
96% grads in work or further study within 15 months
3rd in UK for active graduate businesses
Top 50 UK for research power – Times Higher Education


Apply Now
0341 8454888
www.fespak.com
",Tayyaba,,,Insia,24 June,,Completed ,,"Want to study at a university where success is more than just a promise? University of South Wales, offers practical learning, strong graduate outcomes and real-world opportunities. Isn't it worth applying? Make sure to submit yours by 10th July 2025 to enroll in the September 2025 intake.",Posted,,,,,
SM post,,Stirling Deadline,"FES, 22 Years and UoS Logo
University of Stirling
September 2025 Intake

Deposit Deadline
31st July, 2025 

Apply through FES 
Your Trusted Study Abroad Partner
0341 8454888
www.fespak.com

If possible fit in the ratings as well, otherwise skip

",Raheel,,,Insia,24 June,25 June,Completed ,,"What’s standing between you and your UK study dream? You have a great chance, the University of Stirling is open for September 2025, and the deposit deadline is 31st July. One decision today could shape your entire future. Apply Now!",Posted,,,,,
Reel,Reel Size,IELTS Review - Jawad,N/A ,Sherry,N/A,,Ahmad,24 June,,Completed ,,"From vision to victory! 💫 Jawad Ahmed nailed a 7.0 in IELTS with FES by his side. Thank you for your kind words. We Guide, You Lead!",Not approved by CEO,,,,,
Reel,Reel Size,IELTS Review -Mujataba,N/A ,Sherry,N/A,,Ahmad,24 June,,Completed ,,"Mujtaba Ahmed achieved a stellar 8.0 in IELTS - a true example of focus, dedication and the right guidance. We wish him all the best for his journey ahead honored to hear this feedback. We Guide, You Lead!",Not approved by CEO,,,,,
Reel,,Malik Umer Zahoor,Review,Sherry,,,Ahmad,24 June,,Completed ,,"From the hills of Abbottabad to the halls of NTU: Malik Umer Zahoor’s dream is now a reality. With FES by his side, he secured a UK visa and a 50% scholarship to study MA International Relations. Your future doesn’t depend on where you’re from, but on where you’re ready to go. Start your study abroad process with FES now!",Posted,,,,,
Banners,211.2 x 97,HO Panaflex,"A student is at the airport, ready to fly, symbolizing their study abroad journey with FES. The image should be landscape. 
Left side: Student seen from the back, suitcase in right hand, phone in left hand (screen clearly visible).
Middle: FES logo
Right side: Digital airport departure screen showing:

UK | Ireland | Europe | Canada | USA | Australia | UAE | Malaysia | China

Phone screen should show a WhatsApp chat like this:

Student: Hey! Just reached the airport 😭✈️
Counsellor: Wow, it’s happening! So proud of you 👏 All documents good to go?
Student: Yes, all set. You’ve been amazing. Couldn’t have done this without you 🙏
Counsellor: That means a lot! Best of luck for the new journey 🌏 Don’t forget to share your campus pics! 
Student: Will do! FES forever 💙

Visual style: realistic photo, warm tones, slight blur in background, visible airport vibes, optional airplane reflection in the window.",Raheel,Urgent,,Insia,24 June,,Completed ,,None,No need to post,,,,,
SM post,,Mardan Sponsorship,Collage,Tayyaba,,,Insia,24 June,24 June,Completed ,,"FES was proud to sponsor and participate in the TechVision 2025 Research & FYP Expo held at UET Mardan, under the leadership of Prof. Dr. Gul Muhammad Khan, Vice Chancellor of UET.

Dr. Syed Touqeer Shah (Director) and Prof. Shakil Ahmad Nisar (Associate Director PR & Linkages) were invited by the Vice Chancellor and also had the opportunity to hold a productive meeting during the visit.

Sponsoring this impactful event reflects FES’s continued commitment to supporting emerging talent and connecting them with global academic opportunities.",Posted,,,,,
